word,n
recipe,154
showed,154
web,154
americans,153
cash,153
clearly,153
count,153
forever,153
homes,153
lived,153
mail,153
onto,153
raise,153
slow,153
broke,152
easier,152
management,152
marketing,152
obviously,152
older,152
previous,152
salt,152
tom,152
apple,151
appreciate,151
attack,151
parking,151
particular,151
respect,151
valley,151
voters,151
access,150
becoming,150
bout,150
customers,150
episode,150
goals,150
indeed,150
murder,150
stock,150
china,149
classic,149
commercial,149
corner,149
drug,149
grand,149
justice,149
loving,149
twice,149
effect,148
impact,148
match,148
shall,148
showing,148
tip,148
cat,147
crime,147
drinking,147
grew,147
individual,147
keeps,147
largest,147
none,147
pressure,147
professional,147
robert,147
shoot,147
shooting,147
talent,147
ten,147
agreed,146
easily,146
fashion,146
freedom,146
holding,146
j,146
leaves,146
screen,146
williams,146
youd,146
audience,145
joe,145
november,145
response,145
risk,145
wedding,145
yo,145
adult,144
arizona,144
bro,144
conversation,144
fully,144
iphone,144
johnson,144
married,144
meat,144
mid,144
reached,144
required,144
speaking,144
adding,143
app,143
camp,143
decide,143
novel,143
pre,143
skills,143
standing,143
thinks,143
turns,143
avoid,142
benefits,142
christ,142
clothes,142
culture,142
dogs,142
dollars,142
hang,142
heavy,142
jones,142
knowing,142
nor,142
officers,142
production,142
residents,142
soul,142
spread,142
teaching,142
thomas,142
concert,141
cross,141
f,141
helps,141
victory,141
british,140
competition,140
doctor,140
hasnt,140
income,140
inspired,140
island,140
letter,140
planned,140
skin,140
smart,140
subject,140
trouble,140
anti,139
avenue,139
collection,139
famous,139
grade,139
rd,139
stadium,139
wake,139
yall,139
arrested,138
brand,138
butter,138
greatest,138
hahaha,138
joined,138
limited,138
overall,138
range,138
seat,138
taxes,138
treatment,138
classes,137
exciting,137
info,137
injury,137
knowledge,137
likes,137
mile,137
model,137
notes,137
ryan,137
score,137
section,137
studio,137
willing,137
additional,136
angeles,136
bigger,136
continued,136
december,136
golden,136
journey,136
movement,136
seconds,136
traditional,136
bottle,135
coast,135
egg,135
paying,135
ticket,135
turning,135
worry,135
administration,134
bright,134
charges,134
content,134
creative,134
cuts,134
debt,134
explain,134
killing,134
owners,134
arrived,133
citys,133
enjoying,133
fantastic,133
gay,133
laws,133
modern,133
notice,133
pizza,133
remain,133
